Lemoore Liberators,Easton Evil Empire,Clovis Jets,South Town FF,Kingsburg Killaz,Riverstone Stoners,Dinkey Creek Dirt Clods,Vancouver Moose Drool,Sanger Squatty Pottys,Visalia Viagra Vipers
"Jennings, Jauan MIN WR","Lawrence, Trevor JAX QB","Tagovailoa, Tua ATL QB","Skattebo, Cam NYG RB","Loveland, Colston CHI TE *","Pitts, Kyle ATL TE *","Shough, Tyler NO QB *","Godwin, Chris TB WR *","Stafford, Matthew LAR QB","Stevenson, Rhamondre NE RB"
"Shakir, Khalil BUF WR","Robinson, Brian ATL RB","Dart, Jaxson NYG QB","Jeudy, Jerry CLE WR","Olave, Chris NO WR","Croskey-Merritt, Jacory WAS RB","Fannin, Harold CLE TE *","Sanders, Shedeur CLE QB","Reed, Jayden GB WR","Pittman, Michael PIT WR"
"Rodgers, Aaron PIT QB","Addison, Jordan MIN WR","Rivers, Philip FA QB","Darnold, Sam SEA QB","Bigsby, Tank PHI RB","Coker, Jalen CAR WR","Higgins, Jayden HOU WR","Davis, Malik DAL RB","Allen, Keenan FA WR","Brissett, Jacoby ARI QB"
"Kincaid, Dalton BUF TE","Benson, Trey ARI RB","Doubs, Romeo NE WR","Aiyuk, Brandon SF WR","Burden, Luther CHI WR","Mitchell, Adonai NYJ WR","Allgeier, Tyler ARI RB","Hunt, Kareem FA RB","Pierce, Alec IND WR","Marks, Woody HOU RB"
"Ayomanor, Elic TEN WR","Young, Bryce CAR QB","Franklin, Troy DEN WR","Dowdle, Rico PIT RB","Gainwell, Kenny TB RB","Chiefs, Kansas City KC DEF","Carter, Michael TEN RB","Johnson, Juwan NO TE","Watson, Christian GB WR","Wilson, Michael ARI WR"
"Falcons, Atlanta ATL DEF","Monangai, Kyle CHI RB","Johnston, Quentin LAC WR","Knight, Zonovan ARI RB","TeSlaa, Isaac DET WR","Pineiro, Eddy SF K","Wilson, Emanuel SEA RB","Seahawks, Seattle SEA DEF","Parkinson, Colby LAR TE","Ferguson, Jake DAL TE"
"Texans, Houston HOU DEF","Goedert, Dallas PHI TE","Ertz, Zach FA TE","Vikings, Minnesota MIN DEF","Lions, Detroit DET DEF",,"Robinson, Wan'Dale TEN WR","Fairbairn, Ka'imi HOU K","Schultz, Dalton HOU TE","Hill, Taysom FA TE"
"Butker, Harrison KC K","Broncos, Denver DEN DEF","Henry, Hunter NE TE","Lutz, Wil DEN K","Aubrey, Brandon DAL K",,"Slayton, Darius NYG WR",,"Steelers, Pittsburgh PIT DEF","Tonges, Jake SF TE"
,"Boswell, Chris PIT K","Jaguars, Jacksonville JAX DEF",,,,"Patriots, New England NE DEF",,"Little, Cam JAX K","Saints, New Orleans NO DEF"
,,"Loop, Tyler BAL K",,,,"Bates, Jake DET K",,,"Dicker, Cameron LAC K"
